p Hops Hit_Ratio
00 2.66739 0.378615
01 2.65983 0.382725
02 2.65142 0.38775
03 2.63837 0.395453
04 2.63219 0.398609
05 2.62496 0.402752
06 2.61586 0.406343
07 2.61068 0.408805
08 2.59983 0.414037
09 2.59497 0.415496
10 2.5887 0.418004
