p Hops Hit_Ratio
00 2.68702 0.399395
01 2.67631 0.404046
02 2.66748 0.409108
03 2.65508 0.417028
04 2.64857 0.420047
05 2.63955 0.426798
06 2.62897 0.430707
07 2.62178 0.432996
08 2.61039 0.440139
09 2.60301 0.443519
10 2.59499 0.447063
