p Hops Hit_Ratio
00 2.65798 0.408313
01 2.64625 0.413571
02 2.63982 0.417451
03 2.62755 0.425534
04 2.62121 0.428259
05 2.61231 0.434538
06 2.60295 0.438238
07 2.59607 0.44045
08 2.58617 0.447148
09 2.57965 0.449792
10 2.57211 0.453011
