p Hops Hit_Ratio
00 2.74037 0.38467
01 2.72847 0.390734
02 2.7204 0.396497
03 2.7069 0.406592
04 2.69898 0.410867
05 2.68885 0.41894
06 2.67689 0.424029
07 2.66921 0.426214
08 2.65648 0.435713
09 2.64651 0.440222
10 2.64113 0.443046
