p Hops Hit_Ratio
00 2.65896 0.407825
01 2.64777 0.412905
02 2.64049 0.41684
03 2.62924 0.424379
04 2.62222 0.427414
05 2.6133 0.433401
06 2.6045 0.436668
07 2.59788 0.439062
08 2.58529 0.446696
09 2.58003 0.449083
10 2.57274 0.452352
