F D hops ih ch
nrr never 3.55299 0.000308208 0
nrr lce 2.76831 0.301946 0.114663
nrr fix0.05 2.48881 0.39149 0.152681
nrr fix0.005 2.38687 0.423913 0.162531
nrr lcd 2.54412 0.384092 0.147046
nrr ffc 2.37437 0.424496 0.167051
nrr tfc 2.36574 0.433301 0.16968
nrr ffc0.2 2.34072 0.434923 0.17142
nrr ffc0.1 2.34493 0.437002 0.170927
nrr ffc0.05 2.37154 0.437362 0.167264
