F D hops ih ch
nrr never 3.201 0.0025089 0
nrr lce 2.58322 0.24741 0.0968464
nrr fix0.05 2.33063 0.33377 0.137341
nrr fix0.005 2.23983 0.36853 0.14934
nrr lcd 2.45875 0.318643 0.120842
nrr ffc 2.20918 0.375909 0.156345
nrr tfc 2.20077 0.385901 0.159634
nrr ffc0.2 2.17863 0.385203 0.161086
nrr ffc0.1 2.18059 0.38833 0.161326
nrr ffc0.05 2.20647 0.386187 0.157065
