F D hops ih ch
nrr never 2.82365 0.0170441 0
nrr lce 2.05015 0.397589 0.207194
nrr fix0.05 1.87033 0.474106 0.24833
nrr fix0.005 1.80563 0.495233 0.253844
nrr lcd 1.89687 0.437979 0.235995
nrr ffc 1.78858 0.491379 0.263391
nrr tfc 1.7857 0.48843 0.263372
nrr ffc0.2 1.7708 0.497735 0.266003
nrr ffc0.1 1.77443 0.496059 0.262833
nrr ffc0.05 1.79725 0.490851 0.251023
