F D hops ih ch
nrr never 3.48843 0.00609349 0
nrr lce 2.70475 0.310149 0.127836
nrr fix0.05 2.44416 0.394986 0.165629
nrr fix0.005 2.34699 0.426383 0.171931
nrr lcd 2.49509 0.384966 0.159378
nrr ffc 2.32925 0.425683 0.179167
nrr tfc 2.32018 0.434581 0.18218
nrr ffc0.2 2.29876 0.436516 0.183454
nrr ffc0.1 2.30355 0.438265 0.182017
nrr ffc0.05 2.33104 0.436877 0.175418
