p Hops Hit_Ratio
00 2.75004 0.34669
01 2.73819 0.353346
02 2.7302 0.358628
03 2.71579 0.368539
04 2.70964 0.371712
05 2.69925 0.377944
06 2.69079 0.381853
07 2.68694 0.382582
08 2.67512 0.38869
09 2.67044 0.390514
10 2.664 0.392574
