p Hops Hit_Ratio
00 2.77452 0.403019
01 2.76067 0.410589
02 2.74981 0.417293
03 2.73783 0.430458
04 2.72667 0.434523
05 2.72059 0.444337
06 2.70521 0.450831
07 2.69685 0.452647
08 2.68275 0.464753
09 2.67562 0.469985
10 2.66668 0.474983
