p Hops Hit_Ratio
00 3.13262 0.315377
01 3.11193 0.324692
02 3.09761 0.33375
03 3.07364 0.350932
04 3.06014 0.356023
05 3.04623 0.368822
06 3.02751 0.375743
07 3.01676 0.378259
08 2.99612 0.391683
09 2.98498 0.39658
10 2.97227 0.400913
