p Hops Hit_Ratio
00 3.04171 0.265711
01 3.03967 0.266269
02 3.04082 0.266043
03 3.03959 0.266245
04 3.04108 0.265766
05 3.04052 0.26602
06 3.0414 0.265701
07 3.04041 0.266124
08 3.04109 0.265726
09 3.04221 0.265441
10 3.04088 0.265774
