p Hops Hit_Ratio
00 3.20148 0.312354
01 3.18102 0.322047
02 3.1692 0.331446
03 3.15307 0.348666
04 3.13878 0.354207
05 3.13038 0.367343
06 3.11586 0.374176
07 3.10258 0.376954
08 3.09174 0.390598
09 3.08369 0.395505
10 3.07601 0.399628
