p Hops Hit_Ratio
00 2.84994 0.319144
01 2.85187 0.318657
02 2.85071 0.31872
03 2.85023 0.319185
04 2.85102 0.318607
05 2.85053 0.318988
06 2.85262 0.318217
07 2.85051 0.318806
08 2.85479 0.317734
09 2.85494 0.317691
10 2.85374 0.317893
