p Hops Hit_Ratio
00 2.83565 0.308113
01 2.83669 0.307817
02 2.83563 0.308159
03 2.83605 0.308104
04 2.83383 0.308775
05 2.83541 0.308335
06 2.83191 0.309523
07 2.83398 0.309092
08 2.82881 0.31055
09 2.82917 0.310555
10 2.82753 0.311281
