p Hops Hit_Ratio
00 3.24964 0.214391
01 3.25092 0.213848
02 3.25262 0.213117
03 3.25292 0.213023
04 3.25467 0.21214
05 3.25331 0.212351
06 3.25319 0.211888
07 3.25469 0.211231
08 3.25395 0.210977
09 3.25382 0.210469
10 3.25387 0.21013
