p Hops Hit_Ratio
00 3.37418 0.156574
01 3.3747 0.156443
02 3.37569 0.15622
03 3.37553 0.15625
04 3.37366 0.156731
05 3.3749 0.156422
06 3.37508 0.156393
07 3.37501 0.156422
08 3.37424 0.15663
09 3.37682 0.156
10 3.37498 0.156456
