F D 0.5 0.6 0.7 0.8 0.9 1
nrr lce 5.4675446349599 5.4191839741449 5.285435858385 4.989196029013 4.4432962987596 3.6699734614189 
nrr fix0.1 5.4170334506206 5.3145604430406 5.09076338251 4.6815587769596 4.0265942014913 3.2048227549092 
nrr fix0.05 5.401414771023 5.2848268660098 5.0289203757189 4.5954209872697 3.9483673395856 3.1189639818322 
nrr fix0.01 5.3678349522988 5.1952375886292 4.9207530243422 4.4282803527082 3.7507218675601 2.9644424844001 
nrr fix0.005 5.335303178688 5.1644630785738 4.8824638632702 4.388198295763 3.716592023812 2.9186657679096 
nrr fix0.001 5.330881912134 5.1761977901288 4.9645989733259 4.49804933532 3.9909070210254 3.1964470171687 
nrr prob_cache 5.4275306098602 5.3366193377475 5.1270160687054 4.7306991663113 4.114176459351 3.2942829728522 
nrr lcd 5.3152940758897 5.1649437470523 4.8933724865891 4.4518012719731 3.8231430219697 3.0431515071124 
nrr ffc 5.2843546493303 5.1076394079268 4.8142960665607 4.3620832240983 3.7246040554608 2.9663172792691 
nrr ffc0.25 5.2569520289257 5.1013774921865 4.7740062165705 4.2856630691829 3.6378958631739 2.8676245795633 
nrr ffc0.2 5.2877525092896 5.1106751638383 4.7927601235674 4.2853126052283 3.6342432429447 2.851984039105 
nrr ffc0.1 5.3110649392763 5.1648571989284 4.8250772265233 4.2873350170312 3.6279115987003 2.8367471795465 
nrr ffc0.05 5.3269877840809 5.1744470783971 4.9438631903028 4.3705589149021 3.671892865735 2.8710579521747 
nrr ffc0.01 5.3992358214994 5.2575837261229 5.0911873091234 4.6220512702731 3.959234028724 3.1886231140212 
nrr tfc 5.3425451037542 5.1885238887219 4.8836230556224 4.3662398764395 3.6825065620236 2.9026965663337 
nrr wfc0.25 5.439255959564 5.356233416809 5.1555358812203 4.7804699050477 4.1748251056814 3.3545070844794 
nrr wfc0.1 5.4163623642493 5.3119452347572 5.0872747148278 4.6726324116687 4.0242003367747 3.2028402499932 
nrr wfc0.05 5.3988779899637 5.2876612891903 5.0349891268046 4.5912579879124 3.9377886505488 3.1108754496661 
nrr wfc0.01 5.3616392076839 5.1994352759245 4.9058463356409 4.4386980160196 3.7856700279152 2.9882739634994 
nrr wfc0.005 5.3334490129907 5.1681338168208 4.8696395353756 4.3885502088713 3.7303293223541 2.9563758082498 
nrr wfc0.001 5.3006477077467 5.1325561836915 4.8403347423007 4.3488306576321 3.6875571953032 2.9147014958095 
